Rank,Athlete,Year,Team,Time,Distance,Points,Meet,Meet Date,Wind,Event,Conference,Gender,Event_ID
1,"Dwah, Gbarper",SO-2,Ramapo,12.03,,,Ramapo College Track & Field Invitational,31-Mar-23,0.1,100 Meters,AARTFC,Women,2
2,"Mathews, Laura",JR-3,Stevens,12.13,,,Vassar April Invitational 2023,7-Apr-23,0.6,100 Meters,AARTFC,Women,2
3,"Phillips, Lauren",SO-2,Johns Hopkins,12.14,,,2023 Towson Spring Open,31-Mar-23,0.1,100 Meters,AARTFC,Women,2
4,"Gore, Jayla",FR-1,Widener,12.16,,,WCU Golden Ram Invitational,8-Apr-23,0,100 Meters,AARTFC,Women,2
5,"O'Connell, Madeline",SR-4,Rochester,12.23,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
6,"Riggins, Valandra",SR-4,TCNJ,12.24,,,2023 TCNJ Invitational,8-Apr-23,2,100 Meters,AARTFC,Women,2
7,"Muzzarelli, Maria",SO-2,Widener,12.25,,,WCU Golden Ram Invitational,8-Apr-23,0,100 Meters,AARTFC,Women,2
8,"Bansbach, Susan",SR-4,Rochester,12.31,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
9,"Rudolph, Emma",SR-4,Westminster (Pa.),12.39,,,Alan Connie Shamrock Invitational,16-Mar-23,2.9,100 Meters,AARTFC,Women,2
10,"Pittman, Autumn",SO-2,Cortland St.,12.41,,,Bison Outdoor Classic,14-Apr-23,1.5,100 Meters,AARTFC,Women,2
11,"Giordani, Samantha",SR-4,Carnegie Mellon,12.42,,,2023 Carnegie Mellon Last Chance Meet,13-Apr-23,-1.4,100 Meters,AARTFC,Women,2
12,"Laster, Khia",SO-2,Buffalo State,12.43,,,Vertklasse,31-Mar-23,5.6,100 Meters,AARTFC,Women,2
13,"Davis, Helen",SR-4,Moravian,12.44,,,Lehigh Games 2023,7-Apr-23,1.8,100 Meters,AARTFC,Women,2
13,"Shepardson, Gwen",SR-4,SUNY Geneseo,12.44,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
15,"Francis, Traci",SO-2,Vassar,12.45,,,Alan Connie Shamrock Invitational,16-Mar-23,3.8,100 Meters,AARTFC,Women,2
15,"Conerly, Isre'al",SR-4,NYU,12.45,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,2.8,100 Meters,AARTFC,Women,2
17,"Andersen, Gwendolyn",JR-3,Springfield,12.47,,,SILFEN INVITATIONAL 2023,14-Apr-23,0.6,100 Meters,AARTFC,Women,2
18,"Fatigati, Jessica",JR-3,Westminster (Pa.),12.48,,,Bethany Invitational,25-Mar-23,2.6,100 Meters,AARTFC,Women,2
19,"Lettsome, Zhane",FR-1,St. John Fisher,12.49,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
19,"Reid, Summer",SO-2,NYU,12.49,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,2.8,100 Meters,AARTFC,Women,2
21,"Koutsourades, Kate",JR-3,SUNY Geneseo,12.53,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
21,"Franz, Ciarra",SO-2,St. John Fisher,12.53,,,Utica Pioneer Spring Invite,7-Apr-23,0,100 Meters,AARTFC,Women,2
23,"Johnson, Brenna",SR-4,Nazareth,12.54,,,RIT Invitational,8-Apr-23,0,100 Meters,AARTFC,Women,2
23,"Kurbs, Michaela",JR-3,St. John Fisher,12.54,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
25,"Morrison, Ashanae",SO-2,Stockton,12.55,,,Osprey Open and Multi,7-Apr-23,,100 Meters,AARTFC,Women,2
25,"Levine, Sarah",SR-4,Brockport St.,12.55,,,Geneseo Early Season Invitational,2-Apr-23,2.6,100 Meters,AARTFC,Women,2
27,"Yoder, Chloe",JR-3,Susquehanna,12.56,,,2023 Susquehanna Easter Invite,8-Apr-23,-0.1,100 Meters,AARTFC,Women,2
28,"Isaac, Kate",JR-3,Rochester,12.59,,,Duke Invitational,6-Apr-23,1.5,100 Meters,AARTFC,Women,2
29,"Vezzosi, Emma",SR-4,Grove City,12.61,,,Dave Labor Invitational,31-Mar-23,2.8,100 Meters,AARTFC,Women,2
30,"Brown, Stephanie",JR-3,Springfield,12.64,,,SILFEN INVITATIONAL 2023,14-Apr-23,1,100 Meters,AARTFC,Women,2
31,"Kadiri, Victoria",SO-2,Johns Hopkins,12.65,,,Bison Outdoor Classic,14-Apr-23,0.4,100 Meters,AARTFC,Women,2
31,"MacLure, Ashlyn",SR-4,TCNJ,12.65,,,2023 95th Clyde Littlefield Texas Relays,29-Mar-23,3.1,100 Meters,AARTFC,Women,2
1,"Traore, Cheickna",SR-4,Ramapo,20.49,,,Hurricane Invitational,17-Mar-23,1.8,200 Meters,AARTFC,Men,3
2,"Jensen, Lance",SO-2,SUNY Geneseo,21.35,,,Geneseo Early Season Invitational,2-Apr-23,-0.7,200 Meters,AARTFC,Men,3
3,"Beasley, Jah'mere",SO-2,Rowan,21.39,,,2023 Danny Curran Invitational,30-Mar-23,-0.8,200 Meters,AARTFC,Men,3
4,"Etienne, Dave",SR-4,New Jersey City,21.47,,,Dennis Craddock Coaches Classic,14-Apr-23,2.3,200 Meters,AARTFC,Men,3
5,"Summers, Cameron",SR-4,Stevenson,21.67,,,2023 Messiah Multi/Invitational,13-Apr-23,1.1,200 Meters,AARTFC,Men,3
6,"Davis, Deron",FR-1,SUNY Delhi,21.76,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.3,200 Meters,AARTFC,Men,3
7,"Jeffes, Josh",SO-2,SUNY Delhi,21.8,,,Bison Outdoor Classic,14-Apr-23,1.1,200 Meters,AARTFC,Men,3
8,"Conte, Amara",SO-2,Rowan,21.84,,,Oscar Moore Invitational 2023,8-Apr-23,0,200 Meters,AARTFC,Men,3
9,"Beard, Ryan",SR-4,Westminster (Pa.),21.88,,,Grove City College Mini Invita,5-Apr-23,0,200 Meters,AARTFC,Men,3
9,"Halkias, Alexander",SR-4,Carnegie Mellon,21.88,,,Westminster Invitational 2023,8-Apr-23,-0.1,200 Meters,AARTFC,Men,3
11,"Frank, Andy",SR-4,Ithaca,21.89,,,Muhlenberg Outdoor Invitational,1-Apr-23,0.7,200 Meters,AARTFC,Men,3
12,"Jones, Aaron",SR-4,Cortland St.,21.9,,,Bison Outdoor Classic,14-Apr-23,1.1,200 Meters,AARTFC,Men,3
13,"Wilson, Vajon",JR-3,DeSales,21.95,,,2023 Messiah Multi/Invitational,13-Apr-23,1.1,200 Meters,AARTFC,Men,3
14,"Corcoran, Evan",FR-1,Rowan,21.96,,,2023 Danny Curran Invitational,30-Mar-23,-0.8,200 Meters,AARTFC,Men,3
15,"Jantzi, Justin",JR-3,RIT,21.98,,,Bison Outdoor Classic,14-Apr-23,1.6,200 Meters,AARTFC,Men,3
16,"Scott, Michael",SO-2,Springfield,21.99,,,Springfield College Classic,8-Apr-23,2,200 Meters,AARTFC,Men,3
16,"Agyemang, Nana",SO-2,Rowan,21.99,,,Oscar Moore Invitational 2023,8-Apr-23,0,200 Meters,AARTFC,Men,3
18,"Goring, Coltrane",SR-4,Cortland St.,22.01,,,2023 Danny Curran Invitational,30-Mar-23,-0.8,200 Meters,AARTFC,Men,3
19,"Weber, Evan",JR-3,Springfield,22.02,,,Springfield College Classic,8-Apr-23,2,200 Meters,AARTFC,Men,3
20,"Lodge, Andrew",SR-4,TCNJ,22.03,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,4.5,200 Meters,AARTFC,Men,3
21,"Hadasz, Andrew",JR-3,Utica,22.04,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.3,200 Meters,AARTFC,Men,3
21,"Regan, Seth",JR-3,Springfield,22.04,,,SILFEN INVITATIONAL 2023,14-Apr-23,1.7,200 Meters,AARTFC,Men,3
23,"Latham, Carson",SO-2,Stockton,22.08,,,Osprey Open and Multi,7-Apr-23,2.6,200 Meters,AARTFC,Men,3
24,"Holland, Myron",JR-3,Elizabethtown,22.09,,,40th Millersville Metrics,31-Mar-23,4.1,200 Meters,AARTFC,Men,3
25,"Morse, Brett",SR-4,Cortland St.,22.11,,,Bison Outdoor Classic,14-Apr-23,0,200 Meters,AARTFC,Men,3
26,"Cypress, Charles",FR-1,Plattsburgh St.,22.15,,,Penmen Relays,15-Apr-23,1.7,200 Meters,AARTFC,Men,3
26,"Mins, Jamel",SO-2,Hood,22.15,,,Bison Outdoor Classic,14-Apr-23,0.9,200 Meters,AARTFC,Men,3
26,"Dunbar, Kyle",JR-3,DeSales,22.15,,,2023 Messiah Multi/Invitational,13-Apr-23,1.1,200 Meters,AARTFC,Men,3
29,"Agyemang, Jason",FR-1,Rowan,22.22,,,2023 Danny Curran Invitational,30-Mar-23,0.1,200 Meters,AARTFC,Men,3
30,"Davis, Elliott",SO-2,Susquehanna,22.23,,,2023 Danny Curran Invitational,30-Mar-23,0,200 Meters,AARTFC,Men,3
31,"Love, Shamar",SO-2,Rowan,22.25,,,2023 Danny Curran Invitational,30-Mar-23,0.1,200 Meters,AARTFC,Men,3
31,"McKinney, Robert",SO-2,Rowan,22.25,,,2023 Danny Curran Invitational,30-Mar-23,0.1,200 Meters,AARTFC,Men,3
33,"Knowles, Samuel",SO-2,Widener,22.3,,,WCU Golden Ram Invitational,8-Apr-23,0,200 Meters,AARTFC,Men,3
33,"Welch, Mike",SR-4,Nazareth,22.3,,,Brockport Multi & Invitational,14-Apr-23,2.7,200 Meters,AARTFC,Men,3
35,"Kent, Andrew",FR-1,SUNY Geneseo,22.31,,,RIT Invitational,8-Apr-23,0.7,200 Meters,AARTFC,Men,3
35,"Young, Marquise",JR-3,Rowan,22.31,,,2023 Danny Curran Invitational,30-Mar-23,0.1,200 Meters,AARTFC,Men,3
37,"Gomez, Justin",JR-3,TCNJ,22.32,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,2.3,200 Meters,AARTFC,Men,3
37,"Say, Conrad",JR-3,Johns Hopkins,22.32,,,Bison Outdoor Classic,14-Apr-23,0,200 Meters,AARTFC,Men,3
39,"Czerwinski, Thomas",SR-4,Springfield,22.34,,,Springfield College Classic,8-Apr-23,2,200 Meters,AARTFC,Men,3
40,"Jensen, Evan",SO-2,Cortland St.,22.4,,,2023 Danny Curran Invitational,30-Mar-23,0.1,200 Meters,AARTFC,Men,3
1,"Mathews, Laura",JR-3,Stevens,24.68,,,2023 Danny Curran Invitational,30-Mar-23,-1.1,200 Meters,AARTFC,Women,4
2,"Broadway, Jasmine",SO-2,Rowan,24.85,,,2023 Danny Curran Invitational,30-Mar-23,-1.1,200 Meters,AARTFC,Women,4
3,"Giordani, Samantha",SR-4,Carnegie Mellon,24.88,,,2023 Carnegie Mellon Last Chance Meet,13-Apr-23,-1.7,200 Meters,AARTFC,Women,4
4,"Bansbach, Susan",SR-4,Rochester,24.9,,,Brockport Multi & Invitational,14-Apr-23,1.8,200 Meters,AARTFC,Women,4
5,"Phillips, Lauren",SO-2,Johns Hopkins,25,,,Bison Outdoor Classic,14-Apr-23,1.3,200 Meters,AARTFC,Women,4
6,"Heffernan, Ashley",JR-3,Rochester,25.13,,,Brockport Multi & Invitational,14-Apr-23,2,200 Meters,AARTFC,Women,4
7,"Dwah, Gbarper",SO-2,Ramapo,25.16,,,Mets Outdoor Track & Field Championships,8-Apr-23,-1.6,200 Meters,AARTFC,Women,4
8,"Hardy, Kristin",SR-4,Rochester,25.17,,,Brockport Multi & Invitational,14-Apr-23,1.8,200 Meters,AARTFC,Women,4
9,"Barber, Janyll",SR-4,Plattsburgh St.,25.19,,,Saints Ice Broken Open,1-Apr-23,5.4,200 Meters,AARTFC,Women,4
10,"Sawyer, Natalia",FR-1,Buffalo State,25.25,,,University at Buffalo Spring Opener,8-Apr-23,0.9,200 Meters,AARTFC,Women,4
11,"Bruncaj, Eliza",SO-2,TCNJ,25.33,,,2023 Messiah Multi/Invitational,13-Apr-23,0.6,200 Meters,AARTFC,Women,4
12,"Robinson, Crystal",SR-4,Moravian,25.38,,,Muhlenberg Outdoor Invitational,1-Apr-23,1.1,200 Meters,AARTFC,Women,4
13,"Barre, Elizabeth",SR-4,Carnegie Mellon,25.47,,,2023 Susquehanna Easter Invite,8-Apr-23,1.1,200 Meters,AARTFC,Women,4
14,"Shepardson, Gwen",SR-4,SUNY Geneseo,25.49,,,Geneseo Early Season Invitational,2-Apr-23,-0.3,200 Meters,AARTFC,Women,4
15,"Conerly, Isre'al",SR-4,NYU,25.5,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,-0.1,200 Meters,AARTFC,Women,4
16,"Fackrell, Sydney",SR-4,Springfield,25.55,,,AIC Yellowjacket Invitational,1-Apr-23,-0.1,200 Meters,AARTFC,Women,4
17,"Koutsourades, Kate",JR-3,SUNY Geneseo,25.57,,,Brockport Multi & Invitational,14-Apr-23,1.8,200 Meters,AARTFC,Women,4
18,"Pittman, Autumn",SO-2,Cortland St.,25.65,,,Bison Outdoor Classic,14-Apr-23,0,200 Meters,AARTFC,Women,4
18,"Giamoni, Abby",SO-2,Moravian,25.65,,,Muhlenberg Outdoor Invitational,1-Apr-23,1.1,200 Meters,AARTFC,Women,4
20,"Bruce, Logan",SR-4,Ithaca,25.67,,,Bison Outdoor Classic,14-Apr-23,-0.4,200 Meters,AARTFC,Women,4
21,"Pynn, Sam",SO-2,SUNY Geneseo,25.68,,,Brockport Multi & Invitational,14-Apr-23,1.8,200 Meters,AARTFC,Women,4
22,"Shea, Samantha",SR-4,St. John Fisher,25.69,,,Bison Outdoor Classic,14-Apr-23,0.3,200 Meters,AARTFC,Women,4
23,"Isaac, Kate",JR-3,Rochester,25.76,,,Geneseo Early Season Invitational,2-Apr-23,-0.3,200 Meters,AARTFC,Women,4
24,"Krempa, Alayna",SO-2,Susquehanna,25.77,,,2023 Susquehanna Easter Invite,8-Apr-23,1.2,200 Meters,AARTFC,Women,4
25,"Mix, Mackenzie",SO-2,Utica,25.83,,,2023 Hamilton College Continental Invitational,1-Apr-23,1.1,200 Meters,AARTFC,Women,4
25,"Gonzalez, Noelle",SR-4,Scranton,25.83,,,Muhlenberg Outdoor Invitational,1-Apr-23,1.1,200 Meters,AARTFC,Women,4
27,"Davis, Helen",SR-4,Moravian,25.85,,,Lehigh Games 2023,7-Apr-23,0.5,200 Meters,AARTFC,Women,4
28,"Muzzarelli, Maria",SO-2,Widener,25.86,,,WCU Golden Ram Invitational,8-Apr-23,0,200 Meters,AARTFC,Women,4
29,"Yoder, Chloe",JR-3,Susquehanna,25.89,,,2023 Susquehanna Easter Invite,8-Apr-23,1.1,200 Meters,AARTFC,Women,4
30,"Igwe, Chidimma",JR-3,Rutgers-Newark,25.9,,,2023 TCNJ Invitational,8-Apr-23,0.6,200 Meters,AARTFC,Women,4
31,"Lettsome, Zhane",FR-1,St. John Fisher,25.92,,,Bison Outdoor Classic,14-Apr-23,1.6,200 Meters,AARTFC,Women,4
32,"Klimow, Julianna",SO-2,SUNY Geneseo,25.97,,,Brockport Multi & Invitational,14-Apr-23,1.8,200 Meters,AARTFC,Women,4
33,"Lorjuste, Nevaeh",SO-2,Rowan,25.99,,,2023 Danny Curran Invitational,30-Mar-23,-1.1,200 Meters,AARTFC,Women,4
1,"Jeffes, Josh",SO-2,SUNY Delhi,47.57,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
2,"Sheridan, Kieran",SR-4,SUNY Geneseo,47.65,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Men,5
3,"Beasley, Jah'mere",SO-2,Rowan,47.86,,,2023 Danny Curran Invitational,30-Mar-23,,400 Meters,AARTFC,Men,5
4,"Conte, Amara",SO-2,Rowan,47.97,,,Oscar Moore Invitational 2023,8-Apr-23,,400 Meters,AARTFC,Men,5
5,"Etienne, Dave",SR-4,New Jersey City,48.18,,,Dennis Craddock Coaches Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
5,"Knowles, Samuel",SO-2,Widener,48.18,,,WCU Golden Ram Invitational,8-Apr-23,,400 Meters,AARTFC,Men,5
7,"Miller, Jacob",FR-1,SUNY Geneseo,48.23,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Men,5
8,"Goring, Coltrane",SR-4,Cortland St.,48.25,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
9,"Davis, Elliott",SO-2,Susquehanna,48.28,,,WCU Bill Butler Invitational,15-Apr-23,,400 Meters,AARTFC,Men,5
10,"Rappazzo, Jason",JR-3,SUNY Geneseo,48.65,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Men,5
11,"Mitchell, Alexander",FR-1,Grove City,48.7,,,Tomcat Invitational,15-Apr-23,,400 Meters,AARTFC,Men,5
12,"Agyemang, Nana",SO-2,Rowan,48.73,,,Oscar Moore Invitational 2023,8-Apr-23,,400 Meters,AARTFC,Men,5
13,"Lyons, Luke",SR-4,Rochester,48.97,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Men,5
14,"Tabor, Daniel",JR-3,Ursinus,49.18,,,Muhlenberg Outdoor Invitational,1-Apr-23,,400 Meters,AARTFC,Men,5
14,"Jensen, Evan",SO-2,Cortland St.,49.18,,,Cortland Red Dragon Open,8-Apr-23,,400 Meters,AARTFC,Men,5
16,"Durski, Michael",FR-1,Brockport St.,49.3,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
17,"Jantzi, Justin",JR-3,RIT,49.33,,,RIT Invitational,8-Apr-23,,400 Meters,AARTFC,Men,5
18,"Gavalas, Harrison",FR-1,Cortland St.,49.35,,,Cortland Red Dragon Open,8-Apr-23,,400 Meters,AARTFC,Men,5
19,"Lienert, Mitchell",JR-3,Rochester,49.42,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Men,5
20,"Wilson, Otto",SR-4,RIT,49.46,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
21,"Goldszer, John",JR-3,SUNY Geneseo,49.49,,,RIT Invitational,8-Apr-23,,400 Meters,AARTFC,Men,5
22,"Williams, Gaven",FR-1,Carnegie Mellon,49.51,,,2023 Carnegie Mellon Last Chance Meet,13-Apr-23,,400 Meters,AARTFC,Men,5
23,"Knapp, Douglas",SR-4,Cortland St.,49.56,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
24,"Senf, Ryan",FR-1,RIT,49.57,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
25,"Keelan, Jack",JR-3,Bard,49.63,,,2023 Danny Curran Invitational,30-Mar-23,,400 Meters,AARTFC,Men,5
26,"Resnick, Matthew",SO-2,RIT,49.66,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
27,"Grinion, Ayden",FR-1,Brockport St.,49.81,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Men,5
28,"Milevoix, Samael",SO-2,Montclair State,49.85,,,2023 Danny Curran Invitational,30-Mar-23,,400 Meters,AARTFC,Men,5
29,"Tobin, Aiden",FR-1,Ursinus,49.95,,,Shippensburg University College Mid-Week Meet,19-Apr-23,,400 Meters,AARTFC,Men,5
30,"Engler, Jason",SR-4,TCNJ,49.96,,,2023 Messiah Multi/Invitational,13-Apr-23,,400 Meters,AARTFC,Men,5
31,"Abdo, Nick",SR-4,Fredonia,49.97,,,RIT Invitational,8-Apr-23,,400 Meters,AARTFC,Men,5
32,"Oczkowski, Nate",SR-4,Ithaca,49.98,,,Cortland Red Dragon Open,8-Apr-23,,400 Meters,AARTFC,Men,5
1,"Bansbach, Susan",SR-4,Rochester,55.41,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Women,6
2,"Phillips, Lauren",SO-2,Johns Hopkins,55.46,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Women,6
3,"O'Connell, Madeline",SR-4,Rochester,56.29,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Women,6
4,"Shea, Samantha",SR-4,St. John Fisher,56.69,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Women,6
5,"Lorjuste, Nevaeh",SO-2,Rowan,56.9,,,Larry Ellis Invitational 2023,14-Apr-23,,400 Meters,AARTFC,Women,6
6,"Hardy, Kristin",SR-4,Rochester,57.25,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Women,6
7,"Barre, Elizabeth",SR-4,Carnegie Mellon,57.63,,,Carnegie Mellon Track & Field Invitational,24-Mar-23,,400 Meters,AARTFC,Women,6
8,"Johnson, Brenna",SR-4,Nazareth,57.78,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Women,6
9,"Bell, Megan",SO-2,Rochester,57.86,,,Geneseo Early Season Invitational,2-Apr-23,,400 Meters,AARTFC,Women,6
10,"Isaac, Kate",JR-3,Rochester,57.92,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Women,6
