Rank,Athlete(s),Year,Team,Time_Distance_Points,Meet,Meet Date,Wind,Event,Conference,Gender
24,"Oleson, Cole",FR-1,North Central (Ill.),11.33,NCC 1st Chance Invitational - 2023,7-Apr-23,1.3,100 Meters,CCIW,Men
24,"Brady, Sylvester",SO-2,Augustana (Ill.),11.33,Rex Foster Twilight,7-Apr-23,2.1,100 Meters,CCIW,Men
1,"Novak, Lindsey",JR-3,North Central (Ill.),11.94,Spartan Opener,2-Apr-23,4.7,100 Meters,CCIW,Women
2,"Jackson, Marcedes",SR-4,North Central (Ill.),12.03,Spartan Opener,2-Apr-23,4.7,100 Meters,CCIW,Women
3,"David, Ava",SR-4,Elmhurst,12.08,Cal State LA Twilight - College/University,12-Apr-23,0.9,100 Meters,CCIW,Women
4,"Hussaini, Huda",SR-4,Elmhurst,12.11,Cal State LA Twilight - College/University,12-Apr-23,0.9,100 Meters,CCIW,Women
5,"Marshall, Lauren",JR-3,Elmhurst,12.23,Cal State LA Twilight - College/University,12-Apr-23,1.7,100 Meters,CCIW,Women
6,"Partee, Denise",JR-3,North Central (Ill.),12.45,Cal State LA Twilight - College/University,12-Apr-23,1,100 Meters,CCIW,Women
7,"Garcia, Itzel",SO-2,Millikin,12.49,Wash U 5 Way,25-Mar-23,1.4,100 Meters,CCIW,Women
8,"Lambert, Maria",FR-1,Millikin,12.55,Wash U 5 Way,25-Mar-23,1.4,100 Meters,CCIW,Women
9,"Minkie, Cali",FR-1,North Central (Ill.),12.57,Spartan Opener,2-Apr-23,3.5,100 Meters,CCIW,Women
10,"Kegel, Anna",FR-1,Carthage,12.58,Wheaton Invitational 2023,14-Apr-23,1.2,100 Meters,CCIW,Women
11,"Reser, McKenzie",SO-2,Augustana (Ill.),12.65,Wartburg Outdoor Select,1-Apr-23,2.2,100 Meters,CCIW,Women
12,"Smith, Avery",JR-3,Illinois Wesleyan,12.66,Wabash College Huntsman Family Invite 2023,8-Apr-23,0,100 Meters,CCIW,Women
12,"Miller, Kyla",SO-2,North Central (Ill.),12.66,Spartan Opener,2-Apr-23,3.5,100 Meters,CCIW,Women
14,"Schwarz, Hannah",SO-2,Elmhurst,12.75,Cal State LA Twilight - College/University,12-Apr-23,0.7,100 Meters,CCIW,Women
15,"Babinec, Julia",SR-4,North Central (Ill.),12.81,NCC 1st Chance Invitational - 2023,7-Apr-23,-0.5,100 Meters,CCIW,Women
16,"Hummons, Mikayla",SR-4,Elmhurst,12.92,Wheaton Invitational 2023,14-Apr-23,4.5,100 Meters,CCIW,Women
17,"Lemon, Davion",SO-2,Illinois Wesleyan,13,Wabash College Huntsman Family Invite 2023,8-Apr-23,0,100 Meters,CCIW,Women
18,"Griffin, Jordynn",FR-1,Illinois Wesleyan,13.07,Wabash College Huntsman Family Invite 2023,8-Apr-23,0,100 Meters,CCIW,Women
19,"Burke, Tori",JR-3,Illinois Wesleyan,13.12,Wabash College Huntsman Family Invite 2023,8-Apr-23,0,100 Meters,CCIW,Women
20,"Sigler, Rylee",FR-1,Wheaton (Ill.),13.18,Wheaton Invitational 2023,14-Apr-23,1.2,100 Meters,CCIW,Women
21,"Fleury, Macy",FR-1,North Central (Ill.),13.2,NCC 1st Chance Invitational - 2023,7-Apr-23,2.7,100 Meters,CCIW,Women
22,"Grunloh, Jules",JR-3,Illinois Wesleyan,13.21,Wabash College Huntsman Family Invite 2023,8-Apr-23,NWI,100 Meters,CCIW,Women
23,"Hayes, Riana",FR-1,North Park,13.23,NCC 1st Chance Invitational - 2023,7-Apr-23,0.6,100 Meters,CCIW,Women
24,"Gonzalez, Isabella",FR-1,Illinois Wesleyan,13.29,Wheaton Invitational 2023,14-Apr-23,2.7,100 Meters,CCIW,Women
25,"Olund, Taylor",SO-2,Carroll (Wis.),13.31,Wisconsin Private College Championships,2-Apr-23,1.9,100 Meters,CCIW,Women
1,"Lowder, Evan",FR-1,Illinois Wesleyan,21.59,Wheaton Invitational 2023,14-Apr-23,2,200 Meters,CCIW,Men
2,"Ombogo, Jereme",SO-2,North Park,21.76,Wheaton Invitational 2023,14-Apr-23,3.2,200 Meters,CCIW,Men
3,"Sottos, Seth",JR-3,Augustana (Ill.),21.85,Wheaton Invitational 2023,14-Apr-23,2,200 Meters,CCIW,Men
4,"Koslofski, Kemper",FR-1,Millikin,22.17,Greenville College Select Meet,15-Apr-23,3.2,200 Meters,CCIW,Men
5,"McBride, Connor",JR-3,Augustana (Ill.),22.29,Wheaton Invitational 2023,14-Apr-23,3.2,200 Meters,CCIW,Men
6,"Bleich, Caleb",JR-3,Millikin,22.4,Wash U 5 Way,25-Mar-23,0.8,200 Meters,CCIW,Men
7,"Griffin, Colin",SO-2,Millikin,22.46,Wash U 5 Way,25-Mar-23,0.8,200 Meters,CCIW,Men
8,"Johnson, Brooks",SO-2,Illinois Wesleyan,22.55,Wheaton Invitational 2023,14-Apr-23,3.2,200 Meters,CCIW,Men
9,"Nwatu, Emmanuel",FR-1,Millikin,22.63,Wash U 5 Way,25-Mar-23,0.8,200 Meters,CCIW,Men
10,"Smith, Jason",JR-3,Augustana (Ill.),22.64,Wheaton Invitational 2023,14-Apr-23,3.2,200 Meters,CCIW,Men
11,"Crawford, Danny",SO-2,Illinois Wesleyan,22.69,Wabash College Huntsman Family Invite 2023,8-Apr-23,1.4,200 Meters,CCIW,Men
12,"Lehman, Andrew",SR-4,North Central (Ill.),22.7,Spartan Opener,2-Apr-23,5,200 Meters,CCIW,Men
13,"Schumacher, Keondre",SR-4,Illinois Wesleyan,22.73,Wabash College Huntsman Family Invite 2023,8-Apr-23,1.4,200 Meters,CCIW,Men
14,"Oleson, Cole",FR-1,North Central (Ill.),22.77,Spartan Opener,2-Apr-23,3.6,200 Meters,CCIW,Men
15,"Gilbert, JP",SR-4,Wheaton (Ill.),22.82,NCC 1st Chance Invitational - 2023,7-Apr-23,1,200 Meters,CCIW,Men
16,"Shugarman, Luke",SO-2,Carthage,22.83,Wheaton Invitational 2023,14-Apr-23,1.1,200 Meters,CCIW,Men
17,"Bradley, Nico",SR-4,Wheaton (Ill.),22.9,Wheaton Invitational 2023,14-Apr-23,1.1,200 Meters,CCIW,Men
18,"Nelson, Jaylan",FR-1,Carthage,22.91,Wheaton Invitational 2023,14-Apr-23,2.3,200 Meters,CCIW,Men
19,"Lind, Kevin",JR-3,Carroll (Wis.),22.93,Wisconsin Private College Championships,2-Apr-23,4.3,200 Meters,CCIW,Men
20,"Ratcliff, Carter",FR-1,Carroll (Wis.),22.98,Wisconsin Private College Championships,2-Apr-23,4.3,200 Meters,CCIW,Men
21,"Pearce, Jack",FR-1,Millikin,23.01,Greenville College Select Meet,15-Apr-23,1.9,200 Meters,CCIW,Men
22,"Redmond, Braxston",SO-2,Elmhurst,23.06,Illinois College True Blue Invite,7-Apr-23,0.3,200 Meters,CCIW,Men
23,"Brady, Sylvester",SO-2,Augustana (Ill.),23.16,Rex Foster Twilight,7-Apr-23,2.4,200 Meters,CCIW,Men
24,"Weber, Joel",FR-1,Illinois Wesleyan,23.18,Wheaton Invitational 2023,14-Apr-23,2.3,200 Meters,CCIW,Men
25,"Clements, Braeden",JR-3,Augustana (Ill.),23.19,Rex Foster Twilight,7-Apr-23,2,200 Meters,CCIW,Men
1,"David, Ava",SR-4,Elmhurst,24.57,2023 Bryan Clay Invitational,13-Apr-23,3.3,200 Meters,CCIW,Women
2,"Novak, Lindsey",JR-3,North Central (Ill.),24.96,Spartan Opener,2-Apr-23,4.4,200 Meters,CCIW,Women
3,"Lambert, Maria",FR-1,Millikin,25.4,Greenville College Select Meet,15-Apr-23,3.4,200 Meters,CCIW,Women
4,"Hussaini, Huda",SR-4,Elmhurst,25.54,Illinois College True Blue Invite,7-Apr-23,2.5,200 Meters,CCIW,Women
5,"Reser, McKenzie",SO-2,Augustana (Ill.),25.87,Wheaton Invitational 2023,14-Apr-23,0.1,200 Meters,CCIW,Women
6,"Garcia, Itzel",SO-2,Millikin,26.06,Wash U 5 Way,25-Mar-23,1.9,200 Meters,CCIW,Women
7,"Griffin, Jordynn",FR-1,Illinois Wesleyan,26.12,Wheaton Invitational 2023,14-Apr-23,3.5,200 Meters,CCIW,Women
8,"Gum, Abi",SR-4,Wheaton (Ill.),26.2,NCC 1st Chance Invitational - 2023,7-Apr-23,1.7,200 Meters,CCIW,Women
9,"Lemon, Davion",SO-2,Illinois Wesleyan,26.22,Wheaton Invitational 2023,14-Apr-23,0.5,200 Meters,CCIW,Women
10,"Miller, Kyla",SO-2,North Central (Ill.),26.26,Wheaton Invitational 2023,14-Apr-23,0.5,200 Meters,CCIW,Women
11,"Babinec, Julia",SR-4,North Central (Ill.),26.27,Spartan Opener,2-Apr-23,4.4,200 Meters,CCIW,Women
12,"Partee, Denise",JR-3,North Central (Ill.),26.36,Spartan Opener,2-Apr-23,4.4,200 Meters,CCIW,Women
13,"Minkie, Cali",FR-1,North Central (Ill.),26.52,Spartan Opener,2-Apr-23,4.4,200 Meters,CCIW,Women
14,"Ladin, Faith",JR-3,North Central (Ill.),26.63,Cal State LA Twilight - College/University,12-Apr-23,0.9,200 Meters,CCIW,Women
15,"Topolski, Teresa",SO-2,Carthage,26.79,Wheaton Invitational 2023,14-Apr-23,0.4,200 Meters,CCIW,Women
16,"Burke, Tori",JR-3,Illinois Wesleyan,26.81,Wheaton Invitational 2023,14-Apr-23,2.1,200 Meters,CCIW,Women
17,"Kerfin, Sarah",JR-3,Carthage,26.88,Wheaton Invitational 2023,14-Apr-23,0.4,200 Meters,CCIW,Women
18,"Ring, Thea",FR-1,North Park,26.91,NCC 1st Chance Invitational - 2023,7-Apr-23,1,200 Meters,CCIW,Women
19,"Jones, Naomi",FR-1,Elmhurst,26.92,2023 Millikin Alumni Invite,1-Apr-23,-0.6,200 Meters,CCIW,Women
20,"Schwarz, Hannah",SO-2,Elmhurst,26.96,2023 Millikin Alumni Invite,1-Apr-23,-0.6,200 Meters,CCIW,Women
21,"Brandt, Annie",SR-4,North Central (Ill.),27.04,Spartan Opener,2-Apr-23,4.5,200 Meters,CCIW,Women
22,"Klein, Julia",FR-1,North Park,27.2,Wheaton Invitational 2023,14-Apr-23,1.7,200 Meters,CCIW,Women
23,"Olund, Taylor",SO-2,Carroll (Wis.),27.25,St. Norbert Twilight,6-Apr-23,1.4,200 Meters,CCIW,Women
24,"Grunloh, Jules",JR-3,Illinois Wesleyan,27.29,Wabash College Huntsman Family Invite 2023,8-Apr-23,2.2,200 Meters,CCIW,Women
25,"VanWingerden, Crystelle",JR-3,Wheaton (Ill.),27.37,Wheaton Invitational 2023,14-Apr-23,0.4,200 Meters,CCIW,Women
1,"Redmond, Braxston",SO-2,Elmhurst,48.52,2023 Bryan Clay Invitational,13-Apr-23,NaN,400 Meters,CCIW,Men
2,"Ombogo, Jereme",SO-2,North Park,48.67,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
3,"Shumaker, Jake",SO-2,Millikin,49.06,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Men
4,"Lasack, Dayton",FR-1,Millikin,49.3,Illinois College True Blue Invite,7-Apr-23,NaN,400 Meters,CCIW,Men
5,"Tomko, Cameron",SO-2,Augustana (Ill.),49.84,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
6,"McBride, Connor",JR-3,Augustana (Ill.),50.09,Rex Foster Twilight,7-Apr-23,NaN,400 Meters,CCIW,Men
7,"Griffin, Colin",SO-2,Millikin,50.24,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Men
8,"Bleich, Caleb",JR-3,Millikin,50.43,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Men
9,"Cathcart, Jon",JR-3,Augustana (Ill.),50.53,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
10,"Raatz, Nathan",SO-2,Carroll (Wis.),50.64,Rex Foster Twilight,7-Apr-23,NaN,400 Meters,CCIW,Men
11,"Lehman, Andrew",SR-4,North Central (Ill.),50.69,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,400 Meters,CCIW,Men
12,"Nickel, Trent",SR-4,Carroll (Wis.),50.71,Rex Foster Twilight,7-Apr-23,NaN,400 Meters,CCIW,Men
13,"Piron, Tyler",SO-2,North Central (Ill.),50.97,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
14,"Clausen, Isaiah",SR-4,Wheaton (Ill.),51.32,Gibson Invitational & Multis,13-Apr-23,NaN,400 Meters,CCIW,Men
15,"Vercoe, Jimmy",SO-2,Augustana (Ill.),51.42,Rex Foster Twilight,7-Apr-23,NaN,400 Meters,CCIW,Men
16,"Brady, Sylvester",SO-2,Augustana (Ill.),51.44,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
17,"Russell, Dylan",FR-1,Augustana (Ill.),51.58,Rex Foster Twilight,7-Apr-23,NaN,400 Meters,CCIW,Men
18,"Emmons, Emmett",FR-1,Millikin,51.69,Wash U 5 Way,25-Mar-23,NaN,400 Meters,CCIW,Men
19,"Connor, Jason",SO-2,North Central (Ill.),51.85,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
20,"Balas, Joseph",SO-2,Carthage,52,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
21,"Grauer, Awstace",FR-1,Millikin,52.06,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Men
22,"Meyer, Ethan",SO-2,Carthage,52.29,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
23,"Check, Dean",JR-3,Augustana (Ill.),53.04,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Men
24,"Gowen, Matt",FR-1,Millikin,53.08,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Men
25,"Zerbe, Ethan",JR-3,Wheaton (Ill.),53.12,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,400 Meters,CCIW,Men
1,"Novak, Lindsey",JR-3,North Central (Ill.),56.71,Beach Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
2,"David, Ava",SR-4,Elmhurst,57.05,2023 Bryan Clay Invitational,13-Apr-23,NaN,400 Meters,CCIW,Women
3,"Jones, Naomi",FR-1,Elmhurst,59.32,Illinois College True Blue Invite,7-Apr-23,NaN,400 Meters,CCIW,Women
4,"LeFaivre, Ari",FR-1,Millikin,59.85,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Women
5,"Grunloh, Jules",JR-3,Illinois Wesleyan,01:00.4,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
6,"Ruiz, Alyssa",SO-2,Millikin,01:00.4,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Women
7,"Garcia, Itzel",SO-2,Millikin,01:00.5,Greenville College Select Meet,15-Apr-23,NaN,400 Meters,CCIW,Women
8,"Minkie, Cali",FR-1,North Central (Ill.),01:00.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,400 Meters,CCIW,Women
9,"VanWingerden, Crystelle",JR-3,Wheaton (Ill.),01:00.7,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
10,"Brandt, Annie",SR-4,North Central (Ill.),01:01.0,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
11,"Heinrichs, Julie",SO-2,Carthage,01:01.7,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
12,"Ring, Thea",FR-1,North Park,01:01.7,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
13,"Miller, Kyla",SO-2,North Central (Ill.),01:02.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,400 Meters,CCIW,Women
14,"Hartmann, Sadie",SO-2,Elmhurst,01:02.3,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
15,"Richert, Sadie",FR-1,Wheaton (Ill.),01:02.5,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
16,"Maatouk, Lina",SO-2,Augustana (Ill.),01:02.8,Rex Foster Twilight,7-Apr-23,NaN,400 Meters,CCIW,Women
17,"Pollman, Peyton",JR-3,Illinois Wesleyan,01:03.2,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,400 Meters,CCIW,Women
18,"Griffin, Paige",FR-1,Illinois Wesleyan,01:03.3,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
19,"Gonzalez, Isabella",FR-1,Illinois Wesleyan,01:04.3,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,400 Meters,CCIW,Women
20,"Svendsen, Moa",SO-2,North Park,01:05.1,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
21,"Nelson, Kira",SO-2,Augustana (Ill.),01:05.4,Wheaton Invitational 2023,14-Apr-23,NaN,400 Meters,CCIW,Women
22,"Tollerud, Anika",FR-1,Carroll (Wis.),01:05.6,Wisconsin Private College Championships,2-Apr-23,NaN,400 Meters,CCIW,Women
23,"Watson, Victoria",SO-2,Carroll (Wis.),01:05.7,Beloit Relays,15-Apr-23,NaN,400 Meters,CCIW,Women
24,"Ferrell, Gournie",FR-1,Millikin,01:06.4,2023 Millikin Alumni Invite,1-Apr-23,NaN,400 Meters,CCIW,Women
25,"Duncan, Ashlyn",SO-2,Millikin,01:06.7,Wash U 5 Way,25-Mar-23,NaN,400 Meters,CCIW,Women
1,"Shumaker, Jake",SO-2,Millikin,01:52.1,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,800 Meters,CCIW,Men
2,"Tanttu, Logan",JR-3,North Central (Ill.),01:53.6,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
3,"Bridgman, Austin",JR-3,Millikin,01:55.7,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Men
4,"Nielsen, Gage",SO-2,North Central (Ill.),01:56.7,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
5,"Upmann, Chase",JR-3,Carthage,01:57.0,Wisconsin Private College Championships,2-Apr-23,NaN,800 Meters,CCIW,Men
6,"Tchangwa, Marvin",SO-2,Elmhurst,01:57.0,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Men
7,"Logan, John",JR-3,Wheaton (Ill.),01:57.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
8,"Elsen, Sam",JR-3,Wheaton (Ill.),01:57.4,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
9,"Riss, Connor",JR-3,North Central (Ill.),01:57.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
10,"Mattsey, Brandon",SO-2,Millikin,01:58.2,Greenville College Select Meet,15-Apr-23,NaN,800 Meters,CCIW,Men
11,"Gibbons, Joe",SO-2,Augustana (Ill.),01:58.7,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
12,"Cathcart, Jon",JR-3,Augustana (Ill.),01:58.7,Rex Foster Twilight,7-Apr-23,NaN,800 Meters,CCIW,Men
13,"Raatz, Nathan",SO-2,Carroll (Wis.),01:59.3,Beloit Relays,15-Apr-23,NaN,800 Meters,CCIW,Men
14,"Waterson, Ernie",SO-2,Illinois Wesleyan,01:59.4,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
15,"Skidmore, Logan",SO-2,North Central (Ill.),01:59.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
16,"Skaggs, Christian",SO-2,Millikin,01:59.8,Greenville College Select Meet,15-Apr-23,NaN,800 Meters,CCIW,Men
17,"Praamsma, Gabe",SO-2,Wheaton (Ill.),02:00.6,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
18,"Butcher, Reece",FR-1,Millikin,02:00.8,Wash U 5 Way,25-Mar-23,NaN,800 Meters,CCIW,Men
19,"Barber, Michael",SO-2,Carthage,02:01.0,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
20,"Molloy, Michael",SO-2,North Central (Ill.),02:01.7,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
21,"Karatas, Ali",FR-1,North Park,02:02.3,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
22,"Hoffman, Lucas",SO-2,North Central (Ill.),02:02.3,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
23,"Noyes, Jonah",FR-1,Wheaton (Ill.),02:02.4,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Men
24,"Armstrong, Aidan",FR-1,North Central (Ill.),02:02.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
25,"Dare, Owen",FR-1,North Central (Ill.),02:02.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Men
1,"Ruiz, Alyssa",SO-2,Millikin,02:16.0,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Women
2,"Maatouk, Lina",SO-2,Augustana (Ill.),02:21.6,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
3,"Munoz, Venezia",SO-2,Elmhurst,02:22.0,Beach Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
4,"Risner, Katie",SO-2,Millikin,02:22.2,Wash U 5 Way,25-Mar-23,NaN,800 Meters,CCIW,Women
5,"Veth, Chloe",SR-4,Wheaton (Ill.),02:25.4,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Women
6,"Koke, Krista",FR-1,Millikin,02:25.8,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Women
7,"Naddy, Callin",SR-4,North Central (Ill.),02:26.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Women
8,"Brindley, Faith",FR-1,Millikin,02:26.7,Wash U 5 Way,25-Mar-23,NaN,800 Meters,CCIW,Women
9,"Lotz, Kara",SR-4,Augustana (Ill.),02:28.1,Rex Foster Twilight,7-Apr-23,NaN,800 Meters,CCIW,Women
10,"Crabtree, Adriana",FR-1,Illinois Wesleyan,02:29.6,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
11,"Prothero, Laura",FR-1,Wheaton (Ill.),02:30.2,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
12,"Wies, Madison",SO-2,Augustana (Ill.),02:30.5,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
13,"Myrda, Madzia",SR-4,North Central (Ill.),02:30.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Women
14,"Nazos, Brooke",FR-1,Illinois Wesleyan,02:31.2,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
15,"Mussey, Emmy",SR-4,North Central (Ill.),02:31.4,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Women
16,"Roberts, Molly",FR-1,Elmhurst,02:31.5,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Women
17,"Hutzel, Bethany",SR-4,Wheaton (Ill.),02:31.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,800 Meters,CCIW,Women
18,"Mack, Lauren",JR-3,Elmhurst,02:32.5,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Women
19,"De La Cruz , Casey",JR-3,Augustana (Ill.),02:33.3,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
20,"Buboltz, Rebekah",FR-1,Carroll (Wis.),02:33.6,Wisconsin Private College Championships,2-Apr-23,NaN,800 Meters,CCIW,Women
21,"Daghfal, Ruth",SR-4,Wheaton (Ill.),02:33.8,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
22,"Heinrichs, Julie",SO-2,Carthage,02:33.9,Wisconsin Private College Championships,2-Apr-23,NaN,800 Meters,CCIW,Women
23,"Ballard, Kerigann",SR-4,Carthage,02:35.4,Wheaton Invitational 2023,14-Apr-23,NaN,800 Meters,CCIW,Women
24,"Miller, Esther",SR-4,North Park,02:35.7,2023 Bryan Clay Invitational,13-Apr-23,NaN,800 Meters,CCIW,Women
