Rank,Athlete(s),Year,Team,Time/Distance,Meet,Meet Date,Wind,Event,Conference,Gender
40,"Trent, Jack",SR-4,Amherst,11.49,2023 Carla Coffey Invitational,"Apr 14, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Men
41,"Aladin, Faiz",JR-3,Connecticut College,11.50,Wesleyan Swanson Invite,"Mar 26, 2023",1.2,100 Meters,NESCAC Outdoor Performance List,Men
42,"Ngbokoli, Nadji",JR-3,Middlebury,11.52,Amherst College Spring Fling,"Apr 8, 2023",0.8,100 Meters,NESCAC Outdoor Performance List,Men
43,"Moreira, Francisco",FR-1,Connecticut College,11.55,Wesleyan Swanson Invite,"Mar 26, 2023",2.7,100 Meters,NESCAC Outdoor Performance List,Men
43,"Dabner-Teacher, Enzi",SO-2,Trinity (Conn.),11.55,CGA Spring Invite,"Apr 8, 2023",2.7,100 Meters,NESCAC Outdoor Performance List,Men
45,"Thornton-Sherman, Myles",SO-2,Colby,11.56,Monks Track & Field,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Men
46,"Hunter, Declan",FR-1,Connecticut College,11.58,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Men
47,"Lizardi, Isaiah",SO-2,Middlebury,11.60,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Men
48,"Williams, Truman",SO-2,Bates,11.65,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.5,100 Meters,NESCAC Outdoor Performance List,Men
49,"Gibson, Brian",FR-1,Connecticut College,11.69,CGA Spring Invite,"Apr 8, 2023",2.5,100 Meters,NESCAC Outdoor Performance List,Men
50,"Matturi, Sahr",FR-1,Tufts,11.71,Ross and Sharon Irwin meet,"Mar 18, 2023",-1.6,100 Meters,NESCAC Outdoor Performance List,Men
50,"McGarrahan, Sam",SO-2,Middlebury,11.71,Amherst College Spring Fling,"Apr 8, 2023",0.8,100 Meters,NESCAC Outdoor Performance List,Men
52,"Lukhele, Sebenele",FR-1,Bates,11.73,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.5,100 Meters,NESCAC Outdoor Performance List,Men
53,"Ducrett II, Lucien",JR-3,Trinity (Conn.),11.75,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,NESCAC Outdoor Performance List,Men
54,"Hill, Jefferson",SO-2,Middlebury,11.77,Ross and Sharon Irwin meet,"Mar 18, 2023",-1.6,100 Meters,NESCAC Outdoor Performance List,Men
55,"Villegas, Zach",FR-1,Amherst,11.78,2023 Carla Coffey Invitational,"Apr 14, 2023",0.6,100 Meters,NESCAC Outdoor Performance List,Men
56,"Ngaw, Michael",SO-2,Hamilton,11.79,Utica Pioneer Spring Invite,"Apr 7, 2023",0.7,100 Meters,NESCAC Outdoor Performance List,Men
56,"Schechtman-Taylor	, Patrick",FR-1,Wesleyan,11.79,Amherst College Spring Fling,"Apr 8, 2023",0.8,100 Meters,NESCAC Outdoor Performance List,Men
58,"Feldman, A.J.",SO-2,Colby,11.80,Monks Track & Field,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Men
1,"Tan, Kiara",SR-4,Williams,12.03,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
2,"Benjamin, Kianne",JR-3,Bowdoin,12.07,Jonathan Tymann Invitational,"Apr 8, 2023",1.9,100 Meters,NESCAC Outdoor Performance List,Women
3,"Lindsey, Malissa",SR-4,Connecticut College,12.10,CGA Spring Invite,"Apr 8, 2023",3.8,100 Meters,NESCAC Outdoor Performance List,Women
4,"Devanny, Grace",SR-4,Wesleyan,12.20,Amherst College Spring Fling,"Apr 8, 2023",0.4,100 Meters,NESCAC Outdoor Performance List,Women
5,"Harris, Gabby",SR-4,Wesleyan,12.31,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,NESCAC Outdoor Performance List,Women
6,"White, Melissa",FR-1,Middlebury,12.32,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,NESCAC Outdoor Performance List,Women
7,"Barns, Cady",SR-4,Middlebury,12.51,Ross and Sharon Irwin meet,"Mar 18, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
8,"Lawrence, Olive",FR-1,Middlebury,12.58,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,NESCAC Outdoor Performance List,Women
9,"Rusch, Scarlet",SR-4,Williams,12.60,Amherst College Spring Fling,"Apr 8, 2023",0.4,100 Meters,NESCAC Outdoor Performance List,Women
10,"Arthur, Rachel",SO-2,Williams,12.63,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
10,"Kaiden, Eva",SR-4,Middlebury,12.63,Ross and Sharon Irwin meet,"Mar 18, 2023",1.5,100 Meters,NESCAC Outdoor Performance List,Women
12,"Franck, Lottie",SR-4,Colby,12.64,Emory Spring Break Classic 2023,"Mar 17, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Women
13,"Burhans, Augusta Claire",SR-4,Wesleyan,12.68,Amherst College Spring Fling,"Apr 8, 2023",0.4,100 Meters,NESCAC Outdoor Performance List,Women
14,"Louie, Michelle",JR-3,Middlebury,12.70,Ross and Sharon Irwin meet,"Mar 18, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
15,"Sydnor, Teghan",FR-1,Tufts,12.76,Ross and Sharon Irwin meet,"Mar 18, 2023",-0.4,100 Meters,NESCAC Outdoor Performance List,Women
16,"Chou, Kristen",SR-4,Williams,12.79,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
17,"Bruno, Katie",FR-1,Middlebury,12.80,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
18,"Jones, Sophia",JR-3,Trinity (Conn.),12.81,CGA Spring Invite,"Apr 8, 2023",3.8,100 Meters,NESCAC Outdoor Performance List,Women
19,"Pillone, Sarah",JR-3,Tufts,12.82,PLNU Invitational,"Mar 25, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Women
20,"Lazar, Audrey",SR-4,Middlebury,12.93,Amherst College Spring Fling,"Apr 8, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
21,"Kakalec, Cora",JR-3,Tufts,12.99,PLNU Invitational,"Mar 25, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Women
22,"D'Addario, Lily",SR-4,Bates,13.01,Bates College Quad Meet,"Apr 1, 2023",1.7,100 Meters,NESCAC Outdoor Performance List,Women
22,"Cockerham, Alice",SR-4,Bates,13.01,UMASS Commonwealth Invitational,"Apr 15, 2023",0.4,100 Meters,NESCAC Outdoor Performance List,Women
24,"Pollitt, Lucinda",FR-1,Middlebury,13.04,Amherst College Spring Fling,"Apr 8, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
25,"Beaver, Rebecca",FR-1,Wesleyan,13.05,Amherst College Spring Fling,"Apr 8, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
26,"Bawendi, Mia",JR-3,Amherst,13.06,2023 Carla Coffey Invitational,"Apr 14, 2023",0.3,100 Meters,NESCAC Outdoor Performance List,Women
27,"Johnson, Briana",SR-4,Middlebury,13.13,Ross and Sharon Irwin meet,"Mar 18, 2023",-0.4,100 Meters,NESCAC Outdoor Performance List,Women
28,"Page, Katherine",SR-4,Bowdoin,13.18,Bates College Quad Meet,"Apr 1, 2023",1.7,100 Meters,NESCAC Outdoor Performance List,Women
28,"Lokko, Amerley",SR-4,Amherst,13.18,2023 Carla Coffey Invitational,"Apr 14, 2023",0.3,100 Meters,NESCAC Outdoor Performance List,Women
30,"Shaikh, Nina",JR-3,Hamilton,13.19,2023 Hamilton College Continental Invitational,"Apr 1, 2023",2.1,100 Meters,NESCAC Outdoor Performance List,Women
31,"Thompson, Nyla",SO-2,Tufts,13.21,Ross and Sharon Irwin meet,"Mar 18, 2023",-0.6,100 Meters,NESCAC Outdoor Performance List,Women
31,"Odoom, Gabby",SO-2,Williams,13.21,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
33,"Kral, Annika",SO-2,Tufts,13.24,Ross and Sharon Irwin meet,"Mar 18, 2023",-0.6,100 Meters,NESCAC Outdoor Performance List,Women
34,"Blier, Alayna",FR-1,Colby,13.26,Monks Track & Field,"Apr 14, 2023",-3.0,100 Meters,NESCAC Outdoor Performance List,Women
35,"Facey, Ziann",FR-1,Williams,13.27,PLNU Invitational,"Mar 25, 2023",4.0,100 Meters,NESCAC Outdoor Performance List,Women
36,"Pizzi, Kristina",SO-2,Colby,13.32,Monks Track & Field,"Apr 14, 2023",-3.0,100 Meters,NESCAC Outdoor Performance List,Women
36,"Ilusorio, Abby",SO-2,Connecticut College,13.32,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
38,"Elliot, Mary",FR-1,Middlebury,13.36,PLNU Invitational,"Mar 25, 2023",2.5,100 Meters,NESCAC Outdoor Performance List,Women
39,"Janssen, Anne-Sophie",FR-1,Tufts,13.38,Ross and Sharon Irwin meet,"Mar 18, 2023",-0.6,100 Meters,NESCAC Outdoor Performance List,Women
40,"Fisher, Jillian",FR-1,Trinity (Conn.),13.39,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
41,"Dubidad, Tamia",FR-1,Tufts,13.41,Tufts Snowflake Classic,"Apr 1, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Women
41,"Albanese, Jenna",JR-3,Bowdoin,13.41,Bates College Quad Meet,"Apr 1, 2023",1.7,100 Meters,NESCAC Outdoor Performance List,Women
43,"Sztachelski, Nicole",SO-2,Middlebury,13.45,2023 Carla Coffey Invitational,"Apr 14, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Women
43,"Ansbro, Maya",JR-3,Tufts,13.45,Ross and Sharon Irwin meet,"Mar 18, 2023",0.6,100 Meters,NESCAC Outdoor Performance List,Women
45,"Toll, Liza",JR-3,Middlebury,13.47,Amherst College Spring Fling,"Apr 8, 2023",2.3,100 Meters,NESCAC Outdoor Performance List,Women
45,"Chomba, Kalembwe",SO-2,Tufts,13.47,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",1.9,100 Meters,NESCAC Outdoor Performance List,Women
47,"Rodriguez, Arly",JR-3,Bowdoin,13.48,Jonathan Tymann Invitational,"Apr 8, 2023",-2.3,100 Meters,NESCAC Outdoor Performance List,Women
48,"Alioto, Ava",SO-2,Trinity (Conn.),13.49,CGA Spring Invite,"Apr 8, 2023",1.6,100 Meters,NESCAC Outdoor Performance List,Women
49,"Bruno, Maya",SO-2,Connecticut College,13.53,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
50,"Gay, Isabelle",SR-4,Middlebury,13.63,Amherst College Spring Fling,"Apr 8, 2023",1.9,100 Meters,NESCAC Outdoor Performance List,Women
51,"Appel, Jaidyn",JR-3,Tufts,13.78,Tufts Snowflake Classic,"Apr 1, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Women
52,"Rodriguez, Gabi",FR-1,Williams,13.80,PLNU Invitational,"Mar 25, 2023",3.3,100 Meters,NESCAC Outdoor Performance List,Women
53,"Castano, Emmy",SO-2,Connecticut College,13.83,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
54,"Morrison, Addie",SO-2,Middlebury,13.86,2023 Carla Coffey Invitational,"Apr 14, 2023",+0.0,100 Meters,NESCAC Outdoor Performance List,Women
55,"Gott, Onna",SO-2,Connecticut College,13.95,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,NESCAC Outdoor Performance List,Women
56,"Brophy, Julia",SO-2,Bates,13.99,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",2.2,100 Meters,NESCAC Outdoor Performance List,Women
57,"Kanganis, Alisa",SO-2,Williams,14.00,Amherst College Spring Fling,"Apr 8, 2023",1.9,100 Meters,NESCAC Outdoor Performance List,Women
1,"Botsford, Luke",JR-3,Tufts,21.28,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.3,200 Meters,NESCAC Outdoor Performance List,Men
2,"Newman, Oscar",SO-2,Williams,21.63,PLNU Invitational,"Mar 25, 2023",1.3,200 Meters,NESCAC Outdoor Performance List,Men
3,"Olson, Ajay",SR-4,Bowdoin,21.75,2023 Carla Coffey Invitational,"Apr 14, 2023",-1.4,200 Meters,NESCAC Outdoor Performance List,Men
4,"Davis, Jack",JR-3,Williams,21.87,PLNU Invitational,"Mar 25, 2023",1.5,200 Meters,NESCAC Outdoor Performance List,Men
5,"Lemieux, Alex",SR-4,Tufts,21.89,PLNU Invitational,"Mar 25, 2023",1.3,200 Meters,NESCAC Outdoor Performance List,Men
6,"Castanon, Aidan",FR-1,Middlebury,21.92,PLNU Invitational,"Mar 25, 2023",1.5,200 Meters,NESCAC Outdoor Performance List,Men
7,"Zanze, Ren",SO-2,Colby,21.98,UCONN Northeast Challenge,"Apr 14, 2023",1.3,200 Meters,NESCAC Outdoor Performance List,Men
8,"Martel, Peter",SO-2,Colby,22.06,Emory Thrills in the Hills 2023,"Mar 24, 2023",2.6,200 Meters,NESCAC Outdoor Performance List,Men
9,"Harrison, Jordan",FR-1,Amherst,22.14,Amherst College Spring Fling,"Apr 8, 2023",2.2,200 Meters,NESCAC Outdoor Performance List,Men
10,"Davis, Jackson",SO-2,Williams,22.15,2023 Carla Coffey Invitational,"Apr 14, 2023",-1.4,200 Meters,NESCAC Outdoor Performance List,Men
11,"Turner, Noah",SO-2,Tufts,22.16,Ross and Sharon Irwin meet,"Mar 18, 2023",1.9,200 Meters,NESCAC Outdoor Performance List,Men
12,"Pierce, Cody",FR-1,Amherst,22.18,Amherst College Spring Fling,"Apr 8, 2023",2.2,200 Meters,NESCAC Outdoor Performance List,Men
13,"Cooper, Bryce",FR-1,Williams,22.23,2023 Carla Coffey Invitational,"Apr 14, 2023",-1.4,200 Meters,NESCAC Outdoor Performance List,Men
14,"Stakun-Pickering, Colby",SR-4,Bates,22.25,Bates College Quad Meet,"Apr 1, 2023",1.0,200 Meters,NESCAC Outdoor Performance List,Men
15,"Kadambi, Raghav",JR-3,Colby,22.45,UCONN Northeast Challenge,"Apr 14, 2023",1.3,200 Meters,NESCAC Outdoor Performance List,Men
16,"McKenna, Nolan",SO-2,Trinity (Conn.),22.53,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.7,200 Meters,NESCAC Outdoor Performance List,Men
17,"Nissen, Sam",FR-1,Tufts,22.55,Ross and Sharon Irwin meet,"Mar 18, 2023",1.5,200 Meters,NESCAC Outdoor Performance List,Men
18,"Johnson, Zuri",FR-1,Trinity (Conn.),22.61,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,200 Meters,NESCAC Outdoor Performance List,Men
19,"Warren, Darren",JR-3,Trinity (Conn.),22.66,CGA Spring Invite,"Apr 8, 2023",2.7,200 Meters,NESCAC Outdoor Performance List,Men
20,"Roshankish, Kyle",JR-3,Wesleyan,22.75,Amherst College Spring Fling,"Apr 8, 2023",1.8,200 Meters,NESCAC Outdoor Performance List,Men
21,"Forde, Ethan",SO-2,Tufts,22.77,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",-0.5,200 Meters,NESCAC Outdoor Performance List,Men
22,"Clark, Richard",FR-1,Middlebury,22.78,Ross and Sharon Irwin meet,"Mar 18, 2023",1.3,200 Meters,NESCAC Outdoor Performance List,Men
23,"Shen, Derek",SR-4,Bates,22.79,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.5,200 Meters,NESCAC Outdoor Performance List,Men
24,"Tobias, Aaron",JR-3,Middlebury,22.81,PLNU Invitational,"Mar 25, 2023",0.9,200 Meters,NESCAC Outdoor Performance List,Men
24,"Griffin, Robert",SR-4,Bates,22.81,Bates College Quad Meet,"Apr 1, 2023",1.0,200 Meters,NESCAC Outdoor Performance List,Men
26,"Gedeon-Hope, Aydan",SO-2,Bates,22.83,UMASS Commonwealth Invitational,"Apr 15, 2023",-0.5,200 Meters,NESCAC Outdoor Performance List,Men
27,"Swann, Alexander",SO-2,Middlebury,22.86,Amherst College Spring Fling,"Apr 8, 2023",1.8,200 Meters,NESCAC Outdoor Performance List,Men
28,"Wilkie, Josh",FR-1,Tufts,22.89,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.3,200 Meters,NESCAC Outdoor Performance List,Men
29,"Harmsen, Joshua",SR-4,Hamilton,22.93,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.3,200 Meters,NESCAC Outdoor Performance List,Men
30,"Rosewell, Carter",SR-4,Tufts,22.97,PLNU Invitational,"Mar 25, 2023",0.9,200 Meters,NESCAC Outdoor Performance List,Men
31,"Breen, Colin",JR-3,Middlebury,23.06,PLNU Invitational,"Mar 25, 2023",1.5,200 Meters,NESCAC Outdoor Performance List,Men
32,"Ducrett II, Lucien",JR-3,Trinity (Conn.),23.07,CGA Spring Invite,"Apr 8, 2023",2.4,200 Meters,NESCAC Outdoor Performance List,Men
32,"Firmin, Jayson",SO-2,Connecticut College,23.07,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,200 Meters,NESCAC Outdoor Performance List,Men
34,"Miller, Luke",FR-1,Tufts,23.08,PLNU Invitational,"Mar 25, 2023",2.0,200 Meters,NESCAC Outdoor Performance List,Men
34,"Bell, Benjamin",JR-3,Amherst,23.08,2023 Carla Coffey Invitational,"Apr 14, 2023",-3.3,200 Meters,NESCAC Outdoor Performance List,Men
36,"Joyce, Jared",JR-3,Bowdoin,23.13,Jonathan Tymann Invitational,"Apr 8, 2023",-1.3,200 Meters,NESCAC Outdoor Performance List,Men
36,"Ngbokoli, Nadji",JR-3,Middlebury,23.13,Amherst College Spring Fling,"Apr 8, 2023",1.8,200 Meters,NESCAC Outdoor Performance List,Men
38,"Washington, Naheim",SO-2,Tufts,23.15,2023 Carla Coffey Invitational,"Apr 14, 2023",-1.6,200 Meters,NESCAC Outdoor Performance List,Men
39,"O'Connor, Kevin",SO-2,Bates,23.16,Bates College Quad Meet,"Apr 1, 2023",1.0,200 Meters,NESCAC Outdoor Performance List,Men
39,"Williams, Truman",SO-2,Bates,23.16,Bates College Quad Meet,"Apr 1, 2023",1.0,200 Meters,NESCAC Outdoor Performance List,Men
41,"Gelin, Matt",SR-4,Amherst,23.18,Amherst College Spring Fling,"Apr 8, 2023",1.5,200 Meters,NESCAC Outdoor Performance List,Men
41,"Alban, Luke",FR-1,Connecticut College,23.18,CGA Spring Invite,"Apr 8, 2023",2.4,200 Meters,NESCAC Outdoor Performance List,Men
43,"Rienecker-Found, Harry",JR-3,Tufts,23.23,Ross and Sharon Irwin meet,"Mar 18, 2023",1.4,200 Meters,NESCAC Outdoor Performance List,Men
44,"Kennon, Oliver",SO-2,Colby,23.30,Emory Thrills in the Hills 2023,"Mar 24, 2023",3.2,200 Meters,NESCAC Outdoor Performance List,Men
45,"Xing, Cheng",SR-4,Bowdoin,23.32,Bates College Quad Meet,"Apr 1, 2023",0.9,200 Meters,NESCAC Outdoor Performance List,Men
46,"Whitney, Justin",SO-2,Bowdoin,23.34,Jonathan Tymann Invitational,"Apr 8, 2023",-1.3,200 Meters,NESCAC Outdoor Performance List,Men
47,"Haime, Dylan",FR-1,Connecticut College,23.36,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.1,200 Meters,NESCAC Outdoor Performance List,Men
48,"O'Hara, Liam",FR-1,Tufts,23.49,PLNU Invitational,"Mar 25, 2023",0.7,200 Meters,NESCAC Outdoor Performance List,Men
49,"Lambert, Casey",FR-1,Tufts,23.52,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",2.5,200 Meters,NESCAC Outdoor Performance List,Men
50,"Lyon, Alex",FR-1,Colby,23.54,Emory Thrills in the Hills 2023,"Mar 24, 2023",2.4,200 Meters,NESCAC Outdoor Performance List,Men
51,"Lukhele, Sebenele",FR-1,Bates,23.55,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.5,200 Meters,NESCAC Outdoor Performance List,Men
52,"Hunter, Declan",FR-1,Connecticut College,23.56,CGA Spring Invite,"Apr 8, 2023",1.9,200 Meters,NESCAC Outdoor Performance List,Men
53,"Joseph, Elian",FR-1,Colby,23.58,Emory Thrills in the Hills 2023,"Mar 24, 2023",2.4,200 Meters,NESCAC Outdoor Performance List,Men
54,"Addison, William",FR-1,Trinity (Conn.),23.59,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.1,200 Meters,NESCAC Outdoor Performance List,Men
55,"Woodward, Theo",SO-2,Amherst,23.65,Amherst College Spring Fling,"Apr 8, 2023",1.2,200 Meters,NESCAC Outdoor Performance List,Men
56,"Warlick, William",JR-3,Bowdoin,23.67,Bates College Quad Meet,"Apr 1, 2023",0.9,200 Meters,NESCAC Outdoor Performance List,Men
57,"Musto, Sam",JR-3,Wesleyan,23.69,Wesleyan Swanson Invite,"Mar 26, 2023",1.6,200 Meters,NESCAC Outdoor Performance List,Men
58,"Gibson, Brian",FR-1,Connecticut College,23.70,CGA Spring Invite,"Apr 8, 2023",3.8,200 Meters,NESCAC Outdoor Performance List,Men
58,"Shaukat, Rasikh",SO-2,Hamilton,23.70,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",3.2,200 Meters,NESCAC Outdoor Performance List,Men
